date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2019-05-30,0.01,0.01,0.01,0.01,0.49,0.12,0.1,0.32,0.34,0.02,0.02,0.02,0.03,0.23,0.01,0.01,0.02,0.02,0.01
2019-05-31,0.01,0.01,0.01,0.01,0.66,0.1,0.08,0.25,0.33,0.02,0.02,0.02,0.03,0.23,0.01,0.01,0.02,0.02,0.01
2019-06-03,0.01,0.01,0.01,0.01,0.84,0.06,0.05,0.12,0.3,0.02,0.02,0.02,0.03,0.23,0.01,0.03,0.02,0.02,0.01
2019-06-04,0.01,0.01,0.01,0.01,0.89,0.41,0.25,0.54,0.37,0.02,0.02,0.02,0.02,0.24,0.01,0.05,0.02,0.02,0.01
2019-06-05,0.01,0.01,0.01,0.01,0.87,0.46,0.29,0.87,0.46,0.02,0.02,0.02,0.02,0.26,0.01,0.03,0.02,0.02,0.01
2019-06-06,0.01,0.01,0.01,0.01,1.0,0.58,0.39,0.87,0.63,0.02,0.02,0.02,0.02,0.28,0.01,0.04,0.02,0.02,0.01
2019-06-07,0.01,0.01,0.01,0.01,1.0,0.56,0.38,0.72,0.65,0.02,0.02,0.02,0.02,0.3,0.01,0.02,0.02,0.02,0.01
2019-06-10,0.01,0.01,0.01,0.01,0.67,0.65,0.46,0.73,0.72,0.02,0.02,0.02,0.02,0.32,0.01,0.04,0.02,0.02,0.01
2019-06-11,0.01,0.01,0.01,0.01,0.74,0.7,0.49,0.71,0.72,0.02,0.02,0.02,0.02,0.34,0.01,0.02,0.02,0.02,0.01
2019-06-12,0.01,0.01,0.01,0.01,0.98,0.55,0.42,0.65,0.63,0.02,0.02,0.02,0.02,0.35,0.01,0.04,0.02,0.02,0.01
2019-06-13,0.01,0.01,0.01,0.01,0.51,0.61,0.47,0.57,0.59,0.02,0.02,0.02,0.02,0.37,0.01,0.02,0.02,0.02,0.01
2019-06-14,0.01,0.01,0.01,0.01,0.46,0.62,0.48,0.6,0.58,0.02,0.02,0.02,0.02,0.38,0.01,0.02,0.02,0.02,0.01
2019-06-17,0.01,0.01,0.01,0.01,0.79,0.72,0.56,0.86,0.63,0.02,0.02,0.02,0.02,0.4,0.01,0.04,0.02,0.02,0.01
2019-06-18,0.01,0.01,0.01,0.01,0.82,0.71,0.56,0.83,0.65,0.02,0.02,0.02,0.02,0.42,0.01,0.04,0.02,0.02,0.01
2019-06-19,0.01,0.01,0.01,0.01,0.4,0.73,0.57,0.67,0.61,0.02,0.02,0.02,0.02,0.43,0.01,0.02,0.02,0.02,0.01
2019-06-20,0.01,0.01,0.01,0.01,0.76,0.57,0.5,0.54,0.56,0.02,0.02,0.02,0.02,0.44,0.01,0.03,0.02,0.02,0.01
2019-06-21,0.01,0.01,0.01,0.01,0.51,0.6,0.52,0.49,0.55,0.02,0.02,0.02,0.02,0.44,0.01,0.02,0.02,0.02,0.01
2019-06-24,0.01,0.01,0.01,0.01,0.34,0.63,0.53,0.58,0.58,0.02,0.02,0.02,0.02,0.45,0.01,0.01,0.02,0.01,0.01
2019-06-25,0.01,0.01,0.01,0.01,0.37,0.53,0.49,0.4,0.54,0.02,0.02,0.02,0.02,0.45,0.01,0.01,0.01,0.01,0.01
2019-06-26,0.01,0.01,0.01,0.01,0.53,0.52,0.48,0.41,0.52,0.02,0.02,0.02,0.02,0.45,0.01,0.03,0.01,0.01,0.01
2019-06-27,0.01,0.01,0.01,0.01,0.38,0.59,0.52,0.41,0.5,0.02,0.02,0.02,0.02,0.46,0.01,0.01,0.01,0.01,0.01
2019-06-28,0.01,0.01,0.01,0.01,0.42,0.61,0.53,0.72,0.55,0.02,0.02,0.02,0.02,0.46,0.01,0.01,0.01,0.01,0.01
2019-07-01,0.01,0.01,0.02,0.01,0.51,0.68,0.57,0.92,0.69,0.02,0.02,0.02,0.02,0.46,0.01,0.03,0.01,0.01,0.01
2019-07-02,0.01,0.01,0.01,0.01,0.58,0.59,0.53,0.62,0.57,0.02,0.02,0.02,0.02,0.47,0.01,0.02,0.01,0.01,0.02
